"id","orig_id","bing_date","bing_sku","title","max_dpi"
"5811","0","2024/11/28","AssiniboineTS_ZH-CN9936042562","日落时分风暴渐渐消散，阿西尼博因山省立公园，加拿大 ","3840x2160"
"5809","0","2024/11/26","TrulliGrove_ZH-CN9519400567","橄榄树林，伊特里亚山谷，普利亚，意大利 ","3840x2160"
"5808","0","2024/11/25","AmboseliGiraffes_ZH-CN9276085602","马赛长颈鹿，安波塞利国家公园，肯尼亚 ","3840x2160"
"5807","0","2024/11/24","SonomaCoast_ZH-CN9187330701","州立公园，索诺玛海岸，美国加利福尼亚州 ","3840x2160"
"5806","0","2024/11/23","FibonacciAloe_ZH-CN8974137481","多叶芦荟，袋鼠岛，澳大利亚 ","3840x2160"
"5805","0","2024/11/22","ZafraCastle_ZH-CN8791148758","萨夫拉城堡，瓜达拉哈拉省，西班牙 ","3840x2160"
"5804","0","2024/11/21","LionCubs_ZH-CN8538754038","日出时的两只小狮子，南非 ","3840x2160"
"5803","0","2024/11/20","PontBordeaux_ZH-CN7656263575","皮埃尔桥，波尔多，法国 ","3840x2160"
"5802","0","2024/11/19","TasmansArch_ZH-CN7062784426","塔斯曼拱门，塔斯马尼亚州，澳大利亚","3840x2160"
"5801","0","2024/11/18","PorthcawlLighthouse_ZH-CN6655235820","波斯考尔灯塔，南威尔士，英国","3840x2160"
"5800","0","2024/11/17","RedStag_ZH-CN6403546321","加里东林中的马鹿，阿夫力谷，苏格兰高地","3840x2160"
"5799","0","2024/11/16","FrieslandNetherlands_ZH-CN5952456898","瓦登海沿岸，莫德加特附近，弗里斯兰，荷兰","3840x2160"
"5798","0","2024/11/15","YiPengLanterns_ZH-CN5613043353","义蓬灯节 ，清迈，泰国","3840x2160"
"5797","0","2024/11/14","ManarolaItaly_ZH-CN2837915120","马纳罗拉，五渔村国家公园，利古里亚，意大利","3840x2160"
"5796","0","2024/11/13","KelpForest_ZH-CN2357269491","巨型海藻森林中的加州海狮，下加利福尼亚，墨西哥","3840x2160"
"5795","0","2024/11/12","CoveArch_ZH-CN1281140578","透过海湾拱门看到双拱门，拱门国家公园，犹他州，美国","3840x2160"
"5810","0","2024/11/27","SemoisRiver_ZH-CN0801669014","秋天的巨人之墓，布永市，比利时 ","3840x2160"
"242","49","2009/08/30","Necropolis_ZH-CN732890351","苏丹的麦罗埃金字塔群","958x512"
"243","50","2009/08/31","Mold_ZH-CN735041516","室内常见的过敏源——霉菌","958x512"
"244","51","2009/09/01","SichuanSchool_ZH-CN2254814050","四川灾区的鄢家镇希望小学","958x512"
"245","52","2009/09/02","BabyPanda_ZH-CN2114120082","四川卧龙自然保护区的熊猫宝宝","958x512"
"246","53","2009/09/03","QiangPeople_ZH-CN223386108","四川羌族女孩的表演","958x512"
"247","54","2009/09/04","JiuzhaigouLake_ZH-CN1343647495","四川九寨沟的五花湖","958x512"
"248","55","2009/09/05","ShitaSchool_ZH-CN2073644687","四川甘孜的色达佛学院","958x512"
"249","56","2009/09/06","LitangTents_ZH-CN2042557803","四川理塘县的赛马节","958x512"
"250","57","2009/09/07","YadingMountain_ZH-CN1997853377","四川亚丁的央迈勇雪山","958x512"
"251","58","2009/09/08","ShuBrocade_ZH-CN760216482","四川的蜀锦","958x512"
"252","59","2009/09/09","SichuanPeppers_ZH-CN237651922","调味材料花椒","958x512"
"253","60","2009/09/10","CaveClassroom_ZH-CN912779670","陕西窑洞里的老师正在讲课","958x512"
"254","61","2009/09/11","MilfordSound_ZH-CN309284735","新西兰峡湾国家公园的米佛峡湾","958x512"
"255","62","2009/09/12","RiverDouro_ZH-CN777308881","葡萄牙波尔图市的杜罗河","958x512"
"256","63","2009/09/13","Hippo_ZH-CN2503943788","坦桑尼亚塞伦盖蒂国家公园的河马","958x512"
"257","64","2009/09/14","TibetDesert_ZH-CN52609807","一起爱环保：我国的土地沙漠化","958x512"
"258","65","2009/09/15","Forest_ZH-CN3033052193","一起爱环保：植树造林防治沙漠化","958x512"
"259","66","2009/09/16","TrafficJam_ZH-CN174897961","一起爱环保：交通堵塞污染环境","958x512"
"260","67","2009/09/17","Subway_ZH-CN2033438546","一起爱环保：多乘公交减少污染","958x512"
"261","68","2009/09/18","Lavender_ZH-CN3240965000","法国普罗旺斯薰衣草田","958x512"
"262","69","2009/09/19","SpiceMarket_ZH-CN2573271226","摩洛哥的香料市场","958x512"
"263","70","2009/09/20","CoyoteButte_ZH-CN200281706","美国亚利桑那州和犹他州交界处的红崖荒原岩石波浪","958x512"
"264","71","2009/09/21","OysterFarm_ZH-CN2536009140","加拿大温哥华岛的牡蛎养殖场","958x512"
"265","72","2009/09/22","Cycling_ZH-CN1694310210","在瑞士圣哥特哈德通道举行的瑞士自行车赛","958x512"
"266","73","2009/09/23","CornwallCows_ZH-CN55519139","英格兰康沃尔牧场的牛","958x512"
"267","74","2009/09/24","RedDoor_ZH-CN622642648","回顾祖国60年：纵观我家幸福变迁","958x512"
"268","75","2009/09/25","FishFarm_ZH-CN66913153","回顾祖国60年：沿海经济带农业的现代化之道","958x512"
"269","76","2009/09/26","QingzangRail_ZH-CN1137203277","回顾祖国60年：交通的跨越式发展","958x512"
"270","77","2009/09/27","ShenzhouLaunch_ZH-CN2523718685","回顾祖国60年：航空航天事业突飞猛进","958x512"
"271","78","2009/09/28","TraditionalModern_ZH-CN349892576","回顾祖国60年：城市中古今建筑交相辉映","958x512"
"272","79","2009/09/29","ChineseDrama_ZH-CN1504458860","回顾祖国60年：世界舞台上的中国艺术不绝回响","958x512"
"273","80","2009/09/30","RainbowFrisbees_ZH-CN46196708","回顾祖国60年：祖国花朵放飞希望","958x512"
"274","81","2009/10/01","Tiananmen_ZH-CN3444311992","回顾祖国60年：六十华诞普天同庆","958x512"
"275","82","2009/10/02","MoonFromCloud_ZH-CN680273020","中秋赏月：月色下的锦绣大地","958x512"
"276","83","2009/10/03","MoonFromCity_ZH-CN593615403","中秋赏月：紫禁城晓月","958x512"
"277","84","2009/10/04","MoonFromSpace_ZH-CN1426668325","中秋赏月：外太空的月球掠影","958x512"
"278","85","2009/10/05","Changdeokgung_ZH-CN292073251","秋的踪迹：韩国昌德宫的秋叶","958x512"
"279","86","2009/10/06","Amsterdam_ZH-CN1650063556","秋的踪迹：阿姆斯特丹湖畔的秋思","958x512"
"280","87","2009/10/07","GrinzaneCavour_ZH-CN1571942059","秋的踪迹：意大利葡萄酒庄园的秋香","958x512"
"281","88","2009/10/08","Hibiscus_ZH-CN3406911904","秋的踪迹：木芙蓉花瓣上的秋露","958x512"
"282","89","2009/10/09","MiyaluoMaple_ZH-CN734080535","秋的踪迹：米亚罗河畔的秋漾","958x512"
"283","90","2009/10/10","MonarchButterflies_ZH-CN2516134404","秋的踪迹：墨西哥米却肯森林松枝上的秋恋","958x512"
"284","91","2009/10/11","WildDucks_ZH-CN106344798","秋的踪迹：湖泊边候鸟的秋逝","958x512"
"285","92","2009/10/12","AppleHarvest_ZH-CN1845883256","秋的踪迹：加拿大乡村收获的秋悦","958x512"
"286","93","2009/10/13","Persimmons_ZH-CN2234875731","秋的踪迹：远离喧嚣的秋阳","958x512"
"287","94","2009/10/14","PearDessert_ZH-CN892651903","秋的踪迹：暖融融的秋梨","958x512"
"288","95","2009/10/15","Havana_ZH-CN547228122","古巴的哈瓦那大剧院","958x512"
"289","96","2009/10/16","Neuschwanstein_ZH-CN419567643","德国巴伐利亚的新天鹅堡","958x512"
"290","97","2009/10/17","Nomads_ZH-CN1151384065","在西非沙漠中旅行的游牧民族","958x512"
"291","98","2009/10/18","Tanning_ZH-CN960893345","摩洛哥皮革制作工艺中的晾晒羊皮","958x512"
"292","99","2009/10/19","Women_ZH-CN182613882","头顶陶罐的印度妇女","958x512"
"293","100","2009/10/20","Cowfish_ZH-CN306145509","哥斯达黎加海域的“长角牛头鱼”","958x512"
"294","101","2009/10/21","SeaStar_ZH-CN1308298095","奇妙的海洋生物——海星","958x512"
"295","102","2009/10/22","Osprey_ZH-CN495150966","芬兰的捕鱼能手——鹗","958x512"
"296","103","2009/10/23","Qixingyan_ZH-CN596891939","谈天说七：广东肇庆七星岩","958x512"
"297","104","2009/10/24","MtHuang_ZH-CN829806559","尊老贤度重阳：登高望远","958x512"
"298","105","2009/10/25","Chrysanthemums_ZH-CN104747150","尊老贤度重阳：秋赏“延寿客”","958x512"
"299","106","2009/10/26","RedCrownedCranes_ZH-CN1289772618","尊老贤度重阳：松鹤长寿","958x512"
"300","107","2009/10/27","BambooBoat_ZH-CN1057817945","越南特色文化代表——竹篮船","958x512"
"301","108","2009/10/28","Hayden_ZH-CN1124177866","美国纽约自然历史博物馆的天文馆","958x512"
"302","109","2009/10/29","MoerakiBoulders_ZH-CN851094942","新西兰南岛中奥塔哥的摩拉基大圆石","958x512"
"303","110","2009/10/30","DubaiMarina_ZH-CN1349077595","阿拉伯联合酋长国迪拜的码头","958x512"
"304","111","2009/10/31","Bat_ZH-CN2814643370","装神弄鬼的万圣节","958x512"
"305","112","2009/11/01","FontaineBleau_ZH-CN2698622601","法国的枫丹白露宫","958x512"
"306","113","2009/11/02","LochTulla_ZH-CN3182228545","英国苏格兰西部高地","958x512"
